run,algo,seed,n_links,p,tau,r_u,sigma_omega,gamma,mc_cost_mean,mc_cost_std,jstar_mean,jstar_std,eval_reward_mean,monitor_reward_smoothed
runs/TD3_n13_p0.6_tau0.05_ru10.0_sigw0.0001_seed202511_20250921-131414,TD3,202511,13,0.6,0.05,10.0,0.0001,0.99,204.9479200276568,44.94864140875059,5.09921104181708,0.9344860208734209,-1096.6375039565564,-12218.992389800002
runs/TD3_n13_p0.6_tau0.05_ru10.0_sigw0.0001_seed20257_20250921-121344,TD3,20257,13,0.6,0.05,10.0,0.0001,0.99,145.04088663307166,20.796643850072698,4.727883976120421,1.1005594309562032,-786.7814116626978,-11688.999087799999
runs/TD3_n13_p0.8_tau0.05_ru10.0_sigw0.0001_seed202511_20250921-133420,TD3,202511,13,0.8,0.05,10.0,0.0001,0.99,211.88207878548653,78.02798482378245,5.09921104181708,0.9344860208734209,-5530.16292138656,-12837.910742
runs/TD3_n13_p0.8_tau0.05_ru10.0_sigw0.0001_seed20257_20250921-123354,TD3,20257,13,0.8,0.05,10.0,0.0001,0.99,1028.88018513239,250.5913315236314,4.727883976120421,1.1005594309562032,-3941.0921372795106,-20080.83956465
runs/TD3_n7_p0.5_tau0.05_ru10.0_sigw0.0001_seed202511_20250919-083042,TD3,202511,7,0.5,0.05,10.0,0.0001,0.99,104.27847898950965,38.31805224044398,2.807922646876432,0.941580273393496,-310.6856085034211,-6170.06846355
runs/TD3_n7_p0.5_tau0.05_ru10.0_sigw0.0001_seed20257_20250919-073759,TD3,20257,7,0.5,0.05,10.0,0.0001,0.99,47.48392592316091,9.988738457093753,2.377894472730307,0.820859388359591,-353.22339261253677,-6129.8354122499995
runs/TD3_n7_p0.6_tau0.05_ru10.0_sigw0.0001_seed202511_20250919-084816,TD3,202511,7,0.6,0.05,10.0,0.0001,0.99,76.1601100227259,11.44689602441999,2.807922646876432,0.941580273393496,-415.45580918480954,-6489.7593887
runs/TD3_n7_p0.6_tau0.05_ru10.0_sigw0.0001_seed20257_20250919-075534,TD3,20257,7,0.6,0.05,10.0,0.0001,0.99,114.57512412198642,19.118354432992415,2.377894472730307,0.820859388359591,-378.62880859603484,-6301.56341485
runs/TD3_n7_p0.8_tau0.05_ru10.0_sigw0.0001_seed202511_20250919-090542,TD3,202511,7,0.8,0.05,10.0,0.0001,0.99,451.2089471959868,256.4434675736368,2.807922646876432,0.941580273393496,-494.00869267652433,-6555.718812249999
runs/TD3_n7_p0.8_tau0.05_ru10.0_sigw0.0001_seed20257_20250919-081313,TD3,20257,7,0.8,0.05,10.0,0.0001,0.99,152.100248551011,100.51211903470632,2.377894472730307,0.820859388359591,-683.2894566957156,-6668.653756149999
runs/TD3_n9_p0.5_tau0.05_ru10.0_sigw0.0001_seed202511_20250920-133624,TD3,202511,9,0.5,0.05,10.0,0.0001,0.99,132.14315060856447,18.40450864946834,3.5227728615454237,0.9341407003538587,-676.4424016314745,-8130.732844349999
runs/TD3_n9_p0.5_tau0.05_ru10.0_sigw0.0001_seed20257_20250920-123118,TD3,20257,9,0.5,0.05,10.0,0.0001,0.99,83.51876473043572,6.499494875543247,3.235281360857152,0.9977523387428947,-600.4706643159191,-8158.90230325
runs/TD3_n9_p0.6_tau0.05_ru10.0_sigw0.0001_seed202511_20250920-135621,TD3,202511,9,0.6,0.05,10.0,0.0001,0.99,129.99086065652972,12.52878556430927,3.5227728615454237,0.9341407003538587,-694.2837851560116,-8353.59332855
runs/TD3_n9_p0.6_tau0.05_ru10.0_sigw0.0001_seed20257_20250920-125323,TD3,20257,9,0.6,0.05,10.0,0.0001,0.99,141.41567974385595,18.889186828798692,3.235281360857152,0.9977523387428947,-504.8106962770224,-8708.5459249
runs/TD3_n9_p0.8_tau0.05_ru10.0_sigw0.0001_seed202511_20250920-141504,TD3,202511,9,0.8,0.05,10.0,0.0001,0.99,521.1773296733869,187.05108672094278,3.5227728615454237,0.9341407003538587,-1124.2296191271146,-8673.479488699999
runs/TD3_n9_p0.8_tau0.05_ru10.0_sigw0.0001_seed20257_20250920-131511,TD3,20257,9,0.8,0.05,10.0,0.0001,0.99,148.53047343977764,24.835416960755566,3.235281360857152,0.9977523387428947,-774.3920469425121,-8905.0153225
